Dates,Dates,G007026E45991N,G007050E45972N,G007281E45526N,G007297E45961N,G007394E45986N,G007419E45967N,G007510E46381N,G007549E46005N,G007581E46002N,G007603E46067N,G007625E45991N,G007639E46058N,G007682E46077N,G007702E46120N,G007730E45943N,G007761E45922N,G007800E45965N,G007807E46481N,G007833E46493N,G007846E45906N,G007860E46128N,G007880E45990N,G007892E46055N,G007896E46027N,G007908E45948N,G007922E46000N,G007930E46472N,G007964E46423N,G008016E46459N,G008051E46567N,G008098E46566N,G008131E46609N,G008144E46504N,G008147E46640N,G008156E46616N,G008187E46569N,G008379E46648N,G008431E46695N,G008861E46827N,G009837E46351N,G009860E46370N,G009889E46366N,G009942E46399N,G009969E46369N,G010535E46167N,G010577E46153N,G010609E46395N,G011184E46953N,G021992E70174N,G022083E70150N,G041229E43392N,G041338E43356N,G041406E43354N,G041420E43362N,G041426E43326N,G041439E43313N,G041493E43296N,G041519E43299N,G041523E43281N,G041561E43266N,G041572E43240N,G041626E43230N,G041652E43255N,G041673E43238N,G041692E43207N,G041693E43224N,G041772E43227N,G041843E43225N,G041904E43293N,G041997E43219N,G042051E43198N,G042078E43218N,G042093E43100N,G042100E43207N,G042112E43216N,G042177E43228N,G042208E43222N,G042234E43233N,G042280E43217N,G042321E43226N,G043762E42752N,G043763E42801N,G043771E42740N,G043772E42828N,G043844E42752N,G043845E42727N,G043884E42750N,G044389E42749N,G044447E42733N,G044467E42706N,G044477E42719N,G044483E42698N,G044503E42719N,G044517E42715N,G044537E42706N,G045335E42577N,G045645E42509N,G047796E38263N,G050944E36380N,G050969E36388N,G072154E36611N,G072276E36720N,G073881E36791N,G075110E36318N,G075212E36027N,G075248E38558N,G076135E33464N,G076139E33764N,G076233E33705N,G076553E35339N,G076582E35961N,G077195E35779N,G077441E36518N,G077780E36712N,G077972E34575N,G079397E36144N,G079448E36046N,G079544E31011N,G079568E34309N,G080251E42005N,G080422E35819N,G080574E35527N,G080581E42004N,G080842E42199N,G080860E34368N,G080949E42400N,G081057E35255N,G081184E35317N,G081637E42410N,G082076E35436N,G083476E28736N,G084142E28500N,G084689E28511N,G084759E28427N,G084939E43518N,G085638E34457N,G085758E28296N,G085885E34389N,G086280E28276N,G086633E28122N,G086719E28132N,G087182E36381N,G087347E36344N,G087851E49154N,G089107E33816N,G089122E33894N,G090157E28136N,G090936E36102N,G091091E33424N,G091092E33366N,G211128E60439N,G212558E63648N,G213319E63433N,G222166E59371N,G222767E59342N,G222945E59218N,G223019E59160N,G223058E59316N,G223217E59479N,G223301E58723N,G223304E59444N,G223515E59091N,G223711E59237N,G223858E59202N,G225242E59366N,G225315E59267N,G225357E59279N,G225688E59122N,G226067E58945N,G226234E58919N,G226274E58882N,G226677E58330N,G226792E58448N,G226839E58334N,G226922E58043N,G227371E58087N,G227390E57963N,G227438E57917N,G227454E58004N,G227482E57968N,G227526E57562N,G227627E57972N,G227643E57506N,G227691E57501N,G227784E57753N,G235042E57853N,G239484E53002N,G239808E52894N,G240244E52815N,G240543E53417N,G241920E52410N,G242130E52179N,G242143E52208N,G242234E52184N,G242636E52211N,G242657E52180N,G242731E52135N,G242954E51919N,G243063E50807N,G243112E51724N,G282656E09382S,G286639E49733S,G286738E50402S,G286764E50376S,G286773E49566S,G286852E49174S,G286866E49224S,G286875E49227S,G286878E49177S,G286883E50681S,G286900E49352S,G286902E49166S,G286920E49359S,G286924E49328S,G286929E49140S,G286934E49316S,G286954E49103S,G286984E49869S,G287357E15537S,G287591E48477S,G287611E48517S,G287660E48530S,G287664E48504S,G287940E42132S,G288117E41158S,G289903E32043S,G289924E32060S,G289971E32602S,G289972E33043S,G289986E32570S,G289994E32681S,G289995E32986S,G290007E31452S,G290035E33013S,G290117E33830S,G290133E33763S,G290159E33735S,G290163E33530S,G290191E33451S,G290195E33749S,G290197E33544S,G290207E30395S,G290237E33382S,G290237E33400S,G291155E27738S 
330,2006-07-01,6.637359626116071,9.446155789620535,5.218697373046875,15.123881953124998,5.520168193359375,7.68727423828125,8.03490486328125,9.093742382812499,9.28608978515625,4.622555712890624,16.9365181640625,15.968162109375,5.996577099609375,5.7602053710937495,9.245310205078123,9.071171630859375,43.696731445312494,13.3555728515625,5.977330957031249,11.06797060546875,7.601795947265625,13.22430380859375,9.04215849609375,9.46702265625,9.53695283203125,4.6225568847656255,9.842853076171874,17.2034033203125,6.320851611328125,10.982202539062499,8.2263814453125,8.301899267578126,35.02997578125,5.737764331054687,8.861809130859374,27.14127451171875,14.416658349609374,6.0992771484374995,12.383691650390624,5.058773349609375,7.702711875,4.78870541015625,16.892033203125,5.321336572265625,15.255762304687499,6.076109838867187,12.354816064453125,7.147333037109375,9.455555859374998,12.919712109374998,2.8533931640625,2.314096380615234,2.0682353540039062,2.674466814630682,2.0171961314808238,3.6160582963423296,7.022487624289773,2.7082718994140627,6.1087201171875,4.6557650390625,4.616244543457031,5.382133520507812,2.0513186279296876,2.282483935546875,1.7120083923339842,1.7090088134765626,2.2893581909179685,2.3236037841796873,1.7117070678710937,1.7691386764526367,2.0354272809709824,3.041632711356027,2.5056339320591516,2.1143051618303574,2.9097019461495535,2.7406171875,1.7376935198102679,1.9120810442243301,2.131768432617187,2.0590421107700894,3.4423584521484374,1.6305305053710937,1.737164289550781,1.6739560766601564,13.18179919921875,3.9705445019531247,2.02843458984375,2.2357294189453123,4.332306708984374,1.3100494262695312,6.457192558593749,2.3521735107421873,2.377663000488281,7.83552685546875,2.1337152099609376,2.5984883056640626,1.921318359375,1.4469835144042968,4.630099658203125,2.6568431396484375,65.43077484375,54.78940747767857,46.72182597656249,80.19806015625,56.449962597656246,,48.296557265625,52.618635703124994,46.733991796874996,35.4817546875,21.017084765625,,,,27.915530273437497,,,,11.05195693359375,37.557812109375,,,50.6185751953125,49.5206455078125,36.6897603515625,51.259046484375,33.55192968749999,45.486155390625,38.74427979910714,44.6534630859375,,48.531230859375,,,39.23080927734375,35.674745312499994,,35.769700195312495,,,47.848130859375,50.6012537109375,39.2028732421875,38.87924296875,35.5473140625,42.8803734375,,39.4921603125,29.676267187500002,33.68305546875,18.5278201171875,80.95126640625,46.181049609375,43.478848828124995,21.79119515625,18.7817818359375,53.6727779296875,22.3446287109375,25.4061275390625,32.920386328125,24.100341796875,50.46041718749999,34.5213028125,18.7824181640625,28.228640624999997,18.737977734374997,43.1090765625,19.1599154296875,47.26670390625,19.677352587890624,23.603167089843748,22.1851154296875,41.815740234375,35.431257421874996,38.09125546875,23.15321806640625,26.14896298828125,50.348855859375,35.148618750000004,18.8374341796875,26.664421093749997,19.459891155133928,28.3395033984375,4.013781240234374,34.989648046875,31.243719140625,20.99743681640625,28.015226953124998,17.937096899414062,30.416459263392856,21.980044838169643,50.59294402901786,22.242802650669642,36.172137053571426,21.089623828125,28.57135806361607,32.99132260044642,19.6204048828125,18.642844775390625,37.202658984375,5.736055078125,21.5985498046875,11.431145214843749,10.375194287109375,3.9047361328125,17.9280720703125,18.1674439453125,18.054073828125,7.709484375,31.7109146484375,16.4562064453125,26.723917968749998,16.55792578125,27.637509375,11.56252587890625,11.44700859375,8.946583593749999,6.608633203125001,31.24401202566964,28.155584179687498,24.49437890625,6.928870166015625,12.34290849609375,10.731373095703125,8.378924765625,6.0319632812499995,8.83861611328125,10.261782581676137,10.188783837890625,17.98712289341518,9.976500073242187,15.267641162109376,14.705737304687501,17.4287326171875,10.987290150669642,23.318367890625,,7.45412431640625,15.233281787109375,,9.47738291015625,10.08171240234375,8.283893378906251,12.848512060546874,11.788099035644532
331,2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2006-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2006-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2007-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2007-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2007-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2007-07-01,6.617293505859375,9.399280078124999,5.199623583984375,15.052359375,5.4984990234375,7.641408984375,7.993424999999999,9.06065771484375,9.257003613281249,,,,,,9.261713232421876,9.03069052734375,43.696304296875,13.2852181640625,5.979021020507812,11.07757265625,7.5958259765625,13.221303662109374,9.043841162109373,9.460572802734376,9.57038466796875,4.61413037109375,9.809490673828124,17.2493630859375,6.302758666992187,11.00647705078125,8.222461962890625,8.274749853515624,34.941628125,5.752993579101562,8.836014111328126,27.1513845703125,14.416210546875,6.085425146484376,12.39371015625,5.00912947265625,7.68776044921875,4.773230068359375,16.83029390625,5.2912972265625005,15.1697220703125,6.0328828125,12.301295800781249,7.0880897460937495,9.44667861328125,12.91677890625,2.8384041357421874,2.3046065277099608,2.0522908081054685,2.6682103088378906,2.0078775146484373,3.583039406516335,6.980700402832031,2.702131807084517,6.1039016015625,4.640970629882813,4.58775205078125,5.38978201171875,2.0479253466796874,2.2784236397879463,1.7415128173828125,1.7000723144531251,2.2426726213727677,2.3147620849609374,1.6969010742187498,1.7590782104492186,2.0027502999441964,3.0374592681884764,2.518565185546875,2.1033606131417413,2.9041674734933034,2.7304015869140628,1.735511242675781,1.9054860142299108,2.118053466796875,2.042545134626116,3.43749091796875,1.6288467041015626,1.7370037475585935,1.6540767944335937,13.11227939453125,3.9585315429687498,2.0127105224609374,2.2152984130859377,4.330478869628906,1.3061740814208984,6.454689422607421,2.3504312713623046,2.3547962768554687,7.760531953124999,2.082403081054687,2.5972536621093747,1.9112641113281248,1.4308721819196428,4.6426331909179686,2.6878448913574218,65.36064575892857,54.80874693080357,46.88043046875,80.5326159375,55.928760937499995,,47.464471874999994,52.48861171875,46.735565625,35.831783203125,20.982185156249997,,,,27.758882373046873,,,,11.0369583984375,37.25013076171875,,,49.873420546875,49.517497767857144,36.63063632812499,51.31161298828125,33.551968359374996,45.525031640625,38.68320673828125,44.79301318359375,,48.649514062499996,,,39.160824609375,35.552618437499994,23.34195703125,35.70369609375,,,,50.558684179687496,39.2354689453125,38.849441015625,35.135625234375,42.9244857421875,45.856360546874996,39.4850654296875,29.618075390625,33.613224609374996,18.554129296874997,,46.1219537109375,43.90924921875,22.0216939453125,18.757906347656252,53.6315431640625,22.3084716796875,25.405608398437497,32.63619814453125,23.879557617187498,50.11978593749999,34.472496093749996,18.776783671875002,28.044426708984375,18.749005078125,43.315687499999996,19.1326236328125,47.289905859375,19.658316796875,23.560083984374998,22.277126367187503,41.984766796875,35.53065703125,38.13382265625,23.16569150390625,26.0643421875,49.921548046874996,35.24342080078125,18.74668359375,26.583702978515625,19.509828046874997,28.268409374999997,3.9971653198242185,34.977146484375,31.16288671875,20.974848046875,27.9955775390625,17.88525703125,30.3734091796875,21.97859084472656,50.51721344866071,22.25984263392857,36.04960697544643,21.14606923828125,28.892570507812497,32.8008193359375,19.496066528320313,18.614667041015625,37.22275617187499,5.728578662109375,,,,,,,,,,,,,,,,,,30.787680234375,,,,,10.721437834821428,8.38625474330357,6.046942529296874,8.823312744140624,10.17911239013672,10.183814099121093,17.80875615234375,9.763973986816406,15.208959814453124,14.61591533203125,17.300611010742188,10.950370751953125,23.210606249999998,,7.441718334960937,15.274857568359375,,9.433734301757813,10.067967700195313,8.359343701171875,12.66216064453125,11.833365014648438
343,2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2007-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2007-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2008-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2008-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2008-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2008-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2008-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2008-07-01,6.603442998046875,9.35949462890625,5.185630986328126,14.99330671875,5.4777447949218745,7.6304232421875,7.948107421874999,9.02727263671875,9.22679736328125,4.591509301757813,16.92703740234375,15.942728320312499,5.9674564453125,5.764565258789062,9.26644453125,8.96401962890625,43.625600390625,13.22380072265625,5.981020092773437,11.088022265625,7.589572265624999,13.205690039062501,9.0515091796875,9.46138916015625,9.5995365234375,4.605169775390625,9.783230566406251,17.303464453125,6.274880859375,11.05981201171875,8.2152650390625,8.260421044921875,34.8178078125,5.761860534667969,8.808535766601562,27.1654095703125,14.410536328125,6.0762093749999995,12.44146341796875,4.9893697265625,7.68759521484375,4.7650447265624996,16.78779140625,5.2728824707031245,15.134735742187498,6.013967871093749,12.27703095703125,7.061570068359376,9.443845019531249,12.9138328125,2.8073524658203124,2.2967115966796876,2.0337248291015624,2.65999189453125,1.9982351806640626,3.5675546630859376,6.950119262695312,2.70092197265625,6.089691796875,4.614198046875,4.5760324218749995,5.389663403320313,2.0451135498046873,2.269544091796875,1.7544858673095702,1.6918476196289063,2.2102282617187496,2.3046593366350447,1.676817161342076,1.7494917846679687,1.9679153027343748,3.029442890625,2.5311487060546876,2.096546429443359,2.894286346435547,2.7224906616210935,1.7305168579101562,1.8956359130859373,2.1051454284667965,2.023961865234375,3.428679583740234,1.6282173614501954,1.7366183624267577,1.6377450897216796,13.05496494140625,3.9367534790039063,2.0000715270996094,2.1958224060058593,4.3367329101562495,1.2984697265624998,6.435084960937499,2.346995361328125,2.3269840576171874,7.67178837890625,2.0229640136718747,2.593580795288086,1.90228740234375,,4.647875537109375,2.705586328125,65.47155669642856,55.37534985351562,46.968766992187504,80.92144687499999,55.570797070312494,,46.40487840401785,52.315102566964285,46.84708359375,36.2297091796875,20.889931640625,,,,27.651134619140624,,,,11.02800234375,37.0343478515625,,,,,36.599445703125,,33.5326078125,45.473160234375,38.658603515624996,44.887510546875,,48.8000373046875,,,39.120999609375,35.5186740234375,,35.6702203125,,,,,39.2359939453125,,,,45.7105904296875,,29.588122265625,33.54778125,18.6053625,80.765184375,,44.325833203125,22.1213689453125,,,,,,,,,,,18.7239779296875,43.42685625,19.1254130859375,47.314030078125,19.6487630859375,23.52155185546875,22.3081576171875,42.1293375,35.63331679687499,38.182088671875,23.1789673828125,26.033571386718748,49.650219140625,35.329239843749995,18.6489837890625,26.5073314453125,19.5521944921875,28.1971482421875,3.98958486328125,,31.056037500000002,20.9553451171875,27.91740498046875,17.84679580078125,30.337582031249998,21.9679115625,50.4613845703125,22.2575126953125,35.99271,21.1788094921875,29.311137070312498,32.5909728515625,19.3881041015625,18.6207043359375,37.358616796875,,,,,3.9130561523437497,17.8954646484375,18.2410130859375,18.0632291015625,7.7092693359375,31.60783125,16.446786328125,26.7160611328125,16.551530859375,27.665101757812497,11.55160283203125,11.42562626953125,8.9110623046875,,30.828265136718752,28.144967578125,24.4793712890625,6.911654589843749,12.3316728515625,10.705322837611606,8.375035693359374,6.047452825927734,8.766932645089286,10.032933544921875,10.0747693359375,17.648154101562497,9.682587974330357,15.0490181640625,14.40885860595703,17.105858789062502,10.901073046875,23.09551025390625,12.787863134765624,7.393701171874999,15.228536328124997,8.493450512695311,9.37899189453125,9.786362953814338,8.408342661830357,12.505189453125,11.821276538085938
355,2008-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2008-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2008-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,2008-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
